APN,SP,SFLA,BEDS,Baths,Age,Stories,Vacant,Month,Day,Year
115-121-11,112000,852,2,1,52,1,0,1,22,2001
115-165-04,123500,1207,3,1,48,1,0,1,31,2001
116-040-43,210000,1406,3,2,4,1,0,1,23,2001
116-070-39,245000,1723,3,2,9,1,0,1,22,2001
116-080-43,232000,1549,3,2,9,1,0,1,18,2001
116-210-27,164500,1305,3,2,18,1,0,1,22,2001
117-050-25,96000,960,2,1,62,1,1,1,19,2001
117-181-15,97000,1334,2,1,85,1,0,1,8,2001
118-090-06,340000,1673,3,2,7,1,0,1,27,2001
118-300-62,292500,1647,3,2,5,1,0,1,5,2001
119-180-32,115000,936,2,1,36,1,0,1,13,2001
119-230-08,64000,845,2,1,23,1,0,1,29,2001
119-290-08,69000,1042,3,1,51,1,0,1,23,2001
123-164-24,109950,1121,2,1,65,1,0,1,3,2001
123-242-21,129900,988,2,1.5,61,1,0,1,5,2001
125-130-22,99500,1052,2,1,76,1,0,1,12,2001
125-140-07,165000,1174,2,1,59,1,0,1,25,2001
125-180-29,104000,1045,2,1,62,1,0,1,27,2001
135-070-02,97000,1038,2,1,71,1,0,1,16,2001
135-175-17,115500,1047,2,1,67,1,0,1,10,2001
135-324-17,92800,1264,3,1,80,1,1,1,16,2001
135-361-12,131500,1278,2,1,76,1,1,1,23,2001
135-401-04,120000,1077,2,1,81,1,0,1,24,2001
141-194-05,115000,1064,3,2,0,1,0,1,19,2001
143-060-05,95000,884,3,1,45,1,0,1,26,2001
147-064-10,129950,1648,4,2,22,1,0,1,20,2001
147-295-11,85000,1020,3,1,7,1,0,1,1,2001
149-270-11,62000,1237,2,1,86,1,0,1,23,2001
151-073-07,68500,976,2,1,76,1,0,1,9,2001
157-060-10,100000,1557,3,2,33,1,0,1,29,2001
157-230-20,139500,1310,4,2,0,1,0,1,19,2001
157-242-01,135000,1310,4,2,0,1,0,1,19,2001
161-230-47,231000,1869,3,2.5,11,2,0,1,13,2001
161-280-22,190000,1475,3,2,7,1,0,1,14,2001
161-280-54,235000,1857,4,3,7,2,1,1,16,2001
161-290-21,231000,1833,3,2.5,8,2,1,1,10,2001
161-300-44,212000,2045,3,2,7,1,1,1,4,2001
161-310-33,208000,1600,6,2,3,1,0,1,18,2001
161-320-15,285950,2764,4,3,4,2,0,1,12,2001
161-360-05,250000,1769,3,2,8,1,0,1,14,2001
161-410-12,187000,1372,3,2,7,1,0,1,8,2001
161-440-02,213000,1468,4,2,7,1,0,1,23,2001
161-447-24,179000,1079,3,2,7,1,0,1,18,2001
161-470-29,245950,2040,4,3,5,2,0,1,5,2001
161-470-46,245000,2040,4,3,4,2,0,1,29,2001
161-470-51,110000,1612,4,2,4,1,0,1,17,2001
161-480-04,185000,1070,3,2,4,1,0,1,23,2001
161-540-06,215000,1598,3,2,2,1,0,1,26,2001
161-580-26,238900,1645,3,2,3,1,0,1,21,2001
161-590-42,240600,1592,4,2,4,1,0,1,18,2001
161-590-68,250000,2243,4,2.5,3,1,0,1,14,2001
161-600-43,289000,2500,4,3,3,2,0,1,26,2001
163-460-06,169500,1422,4,2,10,1,0,1,29,2001
163-460-38,148000,1311,3,2,10,1,0,1,29,2001
163-491-21,175000,1466,4,2,10,1,0,1,22,2001
163-492-02,137000,1040,3,2,10,1,1,1,10,2001
163-504-14,159000,1796,4,2.5,9,2,0,1,16,2001
177-200-34,105000,1265,3,2,0,1,0,1,17,2001
179-320-02,135000,1041,3,2,3,1,0,1,23,2001
179-370-10,124000,846,2,1,3,1,0,1,9,2001
183-320-36,265000,1876,3,2,15,2,0,1,22,2001
187-070-19,285000,2325,3,2,29,1,0,1,9,2001
111-220-29,115000,1013,2,1,51,1,1,1,4,2001
125-130-38,164000,1024,3,1,76,1,1,1,30,2001
157-192-13,104000,1014,3,1.5,31,1,1,1,18,2001
068-030-21,234000,1766,3,2,8,1,0,10,24,2001
068-030-28,245000,1615,4,2,9,1,1,10,16,2001
068-030-57,200000,1766,3,2,8,1,0,10,24,2001
068-050-48,186000,1420,3,2,6,1,0,10,11,2001
068-090-60,249900,2032,4,2.5,1,2,0,10,7,2001
070-180-09,239000,1971,4,2,9,1,0,10,23,2001
070-220-03,235000,1824,3,2,3,1,0,10,14,2001
070-240-54,235000,1824,3,2,4,1,0,10,5,2001
070-250-31,182000,1422,3,2,3,1,0,10,1,2001
071-383-18,240000,2188,4,3,8,2,1,10,20,2001
072-320-39,165000,1519,3,2,24,1,1,10,1,2001
075-180-28,185000,1650,3,2,32,1,0,10,29,2001
078-290-24,169000,1404,3,2,13,1,1,10,30,2001
079-205-07,145000,1661,4,2,31,1,0,10,26,2001
080-330-29,185000,1400,4,2,18,1,0,10,22,2001
081-153-18,145000,1432,3,1.5,40,1,0,10,5,2001
081-300-12,146000,1031,3,2,45,1,0,10,7,2001
081-401-15,137500,1150,3,1,47,1,1,10,25,2001
081-422-12,148250,1104,3,1,48,1,1,10,30,2001
081-490-42,164000,1505,3,2,11,1,0,10,30,2001
086-430-07,230000,1373,2,1,62,1,0,10,2,2001
088-320-16,244000,2678,5,3,12,2,0,10,15,2001
088-360-27,225000,2678,5,3,12,2,0,10,5,2001
088-370-27,199000,1634,3,2.5,11,2,0,10,10,2001
092-350-17,269000,2177,5,3,1,2,0,10,9,2001
093-040-32,347000,2000,4,2,29,1,0,10,15,2001
094-350-37,219000,1973,4,3,11,2,1,10,26,2001
094-360-14,225000,1973,4,3,11,2,0,10,3,2001
096-060-30,157500,1900,3,2.5,16,1,0,10,24,2001
096-230-07,199900,1630,4,2.5,8,1,0,10,31,2001
096-240-33,181450,1498,4,2,6,1,0,10,21,2001
096-290-40,170000,1307,3,2,3,1,0,10,20,2001
097-560-52,275000,2330,5,4,25,2,0,10,26,2001
098-392-39,400000,2473,4,2.5,28,1,1,10,15,2001
102-190-18,262500,1839,3,2.5,41,1,0,10,9,2001
108-190-59,177500,2000,3,2.5,20,2,0,10,8,2001
111-041-17,128500,1480,3,2,51,1,0,10,9,2001
111-054-12,145000,1064,3,1,50,1,0,10,1,2001
111-322-31,130000,1510,4,1.5,50,1,0,10,1,2001
112-100-06,305000,2470,3,2.5,18,1,1,10,18,2001
112-290-53,315000,2685,5,3,0,2,1,10,9,2001
115-114-02,115000,858,2,1,50,1,1,10,29,2001
115-169-02,97500,970,2,2,71,1,1,10,12,2001
115-181-07,135000,1014,3,1,50,1,1,10,29,2001
115-220-03,204000,2277,3,2,30,2,1,10,4,2001
117-050-18,105000,960,2,1,62,1,1,10,1,2001
117-223-08,98000,1036,2,1,78,1,0,10,4,2001
117-242-15,111000,1373,3,1,55,1,0,10,15,2001
118-310-19,235000,1604,3,2.5,9,2,0,10,25,2001
118-330-03,225000,1731,3,2,18,1,0,10,8,2001
119-190-07,105500,1140,2,1.5,71,2,0,10,24,2001
121-142-09,183500,1638,3,2,40,1,0,10,8,2001
121-142-17,152500,1228,3,2,39,1,1,10,26,2001
123-053-04,131700,1032,3,1,43,1,1,10,17,2001
123-100-24,123000,1189,2,1,65,1,1,10,17,2001
123-211-14,118936,1000,2,1,54,1,0,10,24,2001
123-222-27,120000,950,2,1,52,1,1,10,24,2001
125-310-23,124000,816,2,1,74,1,1,10,8,2001
127-134-05,158750,1532,2,1,88,1,0,10,18,2001
135-030-10,186000,1947,4,2,66,2,1,10,15,2001
141-205-11,125000,992,2,1,59,1,0,10,16,2001
141-214-05,124000,1218,3,1,45,1,0,10,28,2001
143-127-07,90000,891,2,1,37,1,0,10,9,2001
161-270-12,197000,1440,3,2,8,1,0,10,2,2001
161-550-45,259000,2533,4,3,3,1,0,10,17,2001
163-080-27,86000,1088,3,1,31,1,0,10,14,2001
167-103-05,85000,1011,3,1,51,1,0,10,1,2001
177-164-08,101900,960,2,1,25,1,1,10,23,2001
181-120-27,250000,1421,3,1.5,28,1,0,10,1,2001
097-281-11,147000,1103,3,1,49,1,1,10,18,2001
123-174-06,165000,1309,3,1,61,1,1,10,16,2001
068-180-34,229900,1880,4,2,2,1,0,11,19,2001
068-230-12,235600,1883,3,2.5,2,2,0,11,19,2001
070-220-68,249950,2050,4,3,5,1,0,11,21,2001
070-250-08,285000,2757,4,3,2,2,0,11,13,2001
072-260-01,212000,1763,3,2.5,14,2,1,11,10,2001
075-180-22,175000,1603,4,2,34,1,1,11,30,2001
080-350-07,189000,1708,3,2.5,16,2,0,11,3,2001
088-370-52,230000,2094,5,3,11,1,0,11,30,2001
088-380-23,264000,2534,5,4,8,2,0,11,17,2001
090-053-09,149000,1400,3,2,27,1,0,11,10,2001
094-310-57,180000,1943,4,2.5,11,1,0,11,2,2001
096-180-40,178900,1522,4,2.5,11,2,0,11,2,2001
097-000-00,185000,1400,2,2,53,1,0,11,24,2001
098-020-36,407500,2587,4,2.5,24,1,0,11,17,2001
098-090-02,365000,2362,4,3,23,2,0,11,7,2001
098-380-18,297000,1980,4,2,27,1,0,11,3,2001
102-250-08,240000,2160,3,2.5,43,1,0,11,26,2001
109-201-17,110000,1095,3,1,49,1,0,11,8,2001
110-240-17,137000,1184,2,1,54,1,0,11,12,2001
115-181-02,128350,1014,3,1,50,1,1,11,8,2001
116-360-42,340000,3400,5,3,0,2,0,11,21,2001
117-120-17,99000,1160,2,1,55,1,1,11,14,2001
117-120-28,135000,1278,2,1,53,1,1,11,5,2001
117-225-08,135000,1281,3,1,60,1,0,11,27,2001
118-350-27,202500,1731,3,2,17,1,0,11,2,2001
125-270-19,132000,1313,2,1,81,1,0,11,20,2001
127-215-07,115000,1637,3,1,74,1,0,11,20,2001
133-260-04,133000,1200,3,2,41,1,0,11,5,2001
133-420-03,110000,1255,3,1,75,1,1,11,19,2001
135-401-10,144500,1100,2,1,59,1,0,11,19,2001
151-042-26,75000,1270,3,1,86,1,1,11,18,2001
151-044-21,115000,1335,2,1,88,1,1,11,28,2001
159-034-05,149000,2043,6,3,56,1,0,11,9,2001
161-320-06,216000,2223,4,3,11,2,1,11,7,2001
161-350-24,229000,1769,4,2,7,1,0,11,27,2001
161-440-22,193900,1269,3,2,7,1,0,11,19,2001
161-560-06,220000,2407,3,2.5,2,2,1,11,26,2001
163-430-09,195000,1642,3,2,8,1,1,11,26,2001
163-510-06,165000,1229,3,2,10,1,0,11,10,2001
163-570-38,169000,1229,3,2,9,1,0,11,8,2001
167-170-18,58500,720,2,1,59,1,0,11,27,2001
173-250-07,139950,1120,3,2,14,1,0,11,1,2001
179-320-17,154000,1000,3,2,2,1,0,11,12,2001
068-090-44,268000,2550,4,3,1,2,0,12,10,2001
070-290-12,249950,1900,3,2,1,1,1,12,7,2001
078-340-15,169000,1655,3,2,17,1,0,12,16,2001
079-113-23,165450,1433,3,2,31,1,0,12,7,2001
079-120-01,165000,1607,3,2,33,1,1,12,22,2001
081-342-02,93000,925,2,1,47,1,0,12,1,2001
090-051-24,142000,1400,3,2,26,1,0,12,10,2001
096-160-07,229000,2199,4,3,11,2,0,12,4,2001
096-220-80,230950,2184,4,2.5,7,2,0,12,28,2001
097-082-04,138000,1254,3,1,47,1,1,12,30,2001
103-040-28,435000,2191,4,2,12,1,0,12,10,2001
112-070-43,250000,2027,3,2.5,19,2,0,12,4,2001
113-070-12,158000,1304,3,1.5,50,1,0,12,1,2001
133-042-17,105000,744,2,1,59,1,1,12,15,2001
135-042-02,124000,956,2,1,75,1,1,12,10,2001
135-241-09,121500,974,2,1,78,1,0,12,31,2001
135-242-05,121000,1062,2,1,70,1,0,12,19,2001
153-260-29,115000,1066,2,1,55,1,0,12,11,2001
157-140-40,160000,742,2,1,60,1,0,12,15,2001
157-183-07,111500,1000,3,1.5,30,1,0,12,1,2001
157-200-13,95000,1280,4,2,30,1,1,12,21,2001
159-070-30,52000,825,2,1,61,1,1,12,10,2001
161-370-15,247990,2047,4,3,10,2,1,12,11,2001
167-082-28,69000,1008,2,1,81,1,0,12,18,2001
068-030-19,215000,1885,4,2,8,1,1,2,14,2001
068-030-23,210000,1428,3,2,9,1,0,2,6,2001
068-050-44,191500,1420,3,2,5,1,0,2,12,2001
068-090-14,300000,2555,5,3,1,2,0,2,6,2001
068-250-03,235000,1880,3,2,1,1,0,2,20,2001
070-020-21,242000,1994,3,2,10,1,0,2,23,2001
070-160-02,209000,1614,3,2,7,1,0,2,16,2001
070-190-16,195000,1385,3,2,7,1,0,2,14,2001
070-240-07,195000,1465,3,2,4,1,0,2,3,2001
070-270-26,352000,2700,4,3,2,2,0,2,21,2001
070-280-06,235000,2003,4,2.5,2,2,0,2,3,2001
072-060-09,180600,1655,3,2,23,1,0,2,23,2001
072-110-47,135000,1427,3,2,13,1,0,2,27,2001
077-181-08,172500,1872,4,2,43,1,1,2,1,2001
077-225-03,190000,1517,3,2,51,1,0,2,26,2001
078-370-16,181800,2037,4,2.5,12,1,0,2,22,2001
079-152-25,109100,1175,3,2,36,1,1,2,15,2001
079-220-21,138000,1477,3,2,37,1,1,2,28,2001
079-342-06,140000,1478,3,2,36,1,0,2,22,2001
079-390-30,144500,1472,3,2,29,1,0,2,18,2001
079-420-20,125500,1153,3,2,25,1,0,2,27,2001
080-090-12,165000,1552,3,2,21,1,1,2,21,2001
080-200-20,120000,995,2,1,50,1,1,2,12,2001
080-410-20,190000,1503,3,2,11,1,0,2,26,2001
080-430-87,182000,1518,3,2,11,1,0,2,11,2001
081-030-09,118000,1451,3,2,28,1,1,2,2,2001
081-151-07,119500,1152,3,2,38,1,0,2,8,2001
081-225-25,135000,1633,3,2,38,1,0,2,8,2001
082-090-36,142500,1542,3,2,26,1,1,2,12,2001
082-100-73,180500,2002,4,3,26,1,0,2,1,2001
082-150-37,163000,1634,4,2,26,1,0,2,14,2001
085-400-11,495000,3996,4,3.5,12,2,0,2,28,2001
086-530-26,350000,2555,3,2.5,16,1,0,2,28,2001
087-060-39,315000,2716,4,3,12,1,0,2,19,2001
088-080-29,126500,1434,3,2,21,1,0,2,5,2001
088-110-18,131000,1852,3,2,22,1,0,2,3,2001
088-320-22,178500,1634,3,2.5,12,1,0,2,24,2001
088-340-26,175000,1563,3,2,12,1,0,2,21,2001
088-370-68,158000,1545,3,2,11,1,1,2,26,2001
090-080-47,123000,1154,3,2,22,1,1,2,3,2001
090-110-36,114950,1146,3,2,22,1,0,2,7,2001
090-150-43,125000,1100,3,2,20,1,0,2,21,2001
090-150-44,109950,816,2,1,20,1,1,2,19,2001
090-310-41,119950,1154,3,2,19,1,1,2,5,2001
090-390-21,148000,1443,4,2,16,1,1,2,20,2001
090-390-28,138500,1408,3,2,13,1,0,2,2,2001
090-550-39,190000,1742,3,2.5,9,2,1,2,20,2001
091-390-05,230000,1725,3,2,15,1,0,2,19,2001
092-100-16,212000,1662,3,2,45,1,0,2,16,2001
092-250-11,198000,2091,4,2,6,1,0,2,14,2001
092-280-48,189900,1777,4,3,4,2,0,2,20,2001
092-350-20,232000,2100,4,3,1,2,0,2,20,2001
094-300-22,148000,1385,3,2,11,1,1,2,23,2001
094-300-77,140000,1293,3,2,12,1,1,2,14,2001
096-070-26,140000,1386,3,2.5,15,2,0,2,8,2001
096-130-56,270000,2417,4,3,12,1,0,2,18,2001
096-180-30,164000,1522,3,2.5,11,2,1,2,6,2001
096-190-41,187950,1315,3,2,7,1,1,2,28,2001
096-220-87,148000,1264,3,2,7,1,0,2,6,2001
096-230-36,153000,1346,3,2,6,1,0,2,24,2001
096-290-14,175000,1470,3,2,2,1,1,2,13,2001
097-070-08,195000,1558,3,2,43,1,0,2,23,2001
097-203-30,139000,1176,3,1,49,1,0,2,23,2001
097-205-05,137000,1176,3,1,49,1,1,2,16,2001
097-220-35,127000,898,2,1,50,1,0,2,26,2001
097-350-31,160000,1108,2,1,50,1,0,2,24,2001
100-250-48,182500,1362,3,2,36,1,0,2,14,2001
102-040-05,124950,1128,3,2,40,1,0,2,13,2001
102-182-39,179950,1700,3,2,44,1,1,2,13,2001
102-260-11,153000,1078,3,1,46,1,1,2,4,2001
104-120-62,165000,1685,3,2,36,1,0,2,24,2001
108-260-48,177500,1785,3,2,15,1,0,2,10,2001
109-150-18,130000,1282,4,2,28,1,0,2,9,2001
109-172-08,119950,1100,3,1,50,1,0,2,26,2001
109-350-22,172500,2000,4,4,2,1,0,2,28,2001
110-310-13,161500,1489,3,2,14,1,0,2,12,2001
111-020-43,200000,1848,3,2,12,1,1,2,7,2001
111-051-19,164730,1622,3,2,51,1,0,2,19,2001
111-053-07,129900,1307,2,1,50,1,0,2,28,2001
111-280-12,125000,1165,4,2,46,1,0,2,28,2001
111-410-02,105100,813,2,1,52,1,1,2,15,2001
113-042-03,165000,1282,3,1,57,1,0,2,1,2001
113-222-04,145000,978,2,1,77,1,1,2,7,2001
113-250-10,220000,1825,3,1.5,61,1,0,2,21,2001
115-090-41,124000,1000,3,1,50,1,0,2,23,2001
115-100-10,117950,858,2,1,51,1,0,2,23,2001
115-123-28,114950,852,2,1,54,1,1,2,4,2001
115-155-11,110000,1276,3,2,69,1,0,2,28,2001
115-170-43,150000,1678,3,2,54,1,0,2,10,2001
115-200-42,162000,1530,3,2,51,1,0,2,24,2001
115-241-09,120000,1087,2,2,54,1,0,2,22,2001
116-350-40,240700,1739,3,2.5,3,2,0,2,12,2001
116-360-43,399950,4050,4,3,1,2,0,2,20,2001
118-310-25,190000,1186,3,2,9,1,0,2,21,2001
119-035-03,81750,832,2,1,59,1,0,2,5,2001
119-180-29,88000,1085,2,1,12,1,0,2,5,2001
121-050-27,175000,1685,3,2,21,1,1,2,27,2001
123-030-08,91000,908,3,1,42,1,1,2,8,2001
123-161-02,120000,992,2,1,53,1,1,2,19,2001
123-231-38,140000,1340,2,1,65,1,1,2,12,2001
123-242-22,141500,1258,3,2,64,1,1,2,23,2001
125-040-28,285000,1602,4,3,31,2,1,2,17,2001
125-170-08,121000,1272,2,1,83,1,0,2,26,2001
127-045-03,107000,1844,4,2,85,2,1,2,8,2001
127-120-29,63000,867,2,1,81,1,1,2,15,2001
127-217-04,97000,1166,3,1,75,1,0,2,19,2001
133-150-09,111000,1128,3,1,59,1,0,2,20,2001
133-290-19,129000,973,2,1,62,1,0,2,9,2001
135-160-45,134000,1076,2,1.5,77,1,0,2,12,2001
135-241-08,102000,1110,2,1,55,1,0,2,28,2001
135-244-05,109700,990,2,1,75,1,0,2,15,2001
135-422-02,70000,745,1,1,80,1,1,2,22,2001
137-020-06,135000,1272,2,1,76,1,1,2,15,2001
137-091-16,127000,1174,2,1,84,1,0,2,15,2001
137-110-22,180000,2463,5,2.5,91,2,1,2,11,2001
137-152-08,135000,1534,4,2,93,2,0,2,12,2001
139-056-13,140000,2961,6,3.5,93,1,0,2,23,2001
141-082-07,54500,759,2,1,75,1,0,2,1,2001
141-236-08,127500,1363,3,2,53,1,0,2,5,2001
143-090-03,140000,1227,4,2,0,1,0,2,8,2001
151-072-07,64000,1046,2,1,81,1,0,2,6,2001
155-100-22,92000,1059,3,1,63,1,0,2,6,2001
157-251-04,96000,896,2,1,21,1,0,2,2,2001
161-230-50,227000,1869,4,2.5,11,2,1,2,5,2001
161-270-44,237500,1832,3,2,11,1,0,2,27,2001
161-330-39,215000,1700,3,2.5,8,2,1,2,3,2001
161-370-13,285500,2359,4,3,11,2,0,2,24,2001
161-390-40,232950,1556,3,3,9,2,0,2,14,2001
161-470-65,237500,1948,4,2.5,5,2,0,2,23,2001
161-480-13,205000,1510,4,2,4,1,0,2,8,2001
161-530-30,235000,2610,5,3,0,2,0,2,26,2001
161-550-28,223900,1492,3,2,4,2,0,2,11,2001
161-570-33,220000,1776,4,2.5,4,1,0,2,10,2001
161-570-77,217000,1490,4,2,3,1,0,2,5,2001
161-580-31,230000,1465,3,2,3,1,0,2,14,2001
161-590-31,211007,1324,3,2,3,1,0,2,12,2001
161-600-29,231000,1781,3,2.5,3,1,0,2,14,2001
161-620-29,225000,1726,3,2.5,3,2,0,2,18,2001
161-650-13,240000,1800,3,2,1,1,0,2,12,2001
161-680-23,240000,1598,3,2,1,1,0,2,14,2001
163-270-02,132000,1140,3,2,14,1,0,2,26,2001
163-530-40,201000,1777,4,3,8,2,0,2,28,2001
163-560-10,187000,1556,3,2.5,8,1,1,2,4,2001
163-590-02,165000,1440,3,2,7,1,0,2,26,2001
163-670-09,158000,1128,3,2,5,1,0,2,26,2001
163-700-13,134950,1085,2,1,5,1,0,2,22,2001
163-720-30,143000,981,3,1,3,1,0,2,7,2001
165-053-01,92900,936,3,1,51,1,0,2,14,2001
165-161-10,115000,1097,3,2,22,1,1,2,27,2001
169-154-24,75000,1072,3,1,52,1,1,2,1,2001
173-230-27,95000,990,3,1,41,1,1,2,12,2001
173-360-39,132000,1365,3,2,13,1,1,2,28,2001
173-400-58,114000,1227,3,2,10,1,0,2,10,2001
179-172-41,147500,1384,3,2,52,1,0,2,1,2001
179-320-35,152000,1642,3,2,7,1,1,2,25,2001
179-350-60,140000,1000,3,2,6,1,0,2,12,2001
183-020-09,380000,3600,4,3.5,38,2,0,2,15,2001
186-020-25,430000,2600,3,2.5,11,1,0,2,16,2001
188-020-25,430000,2600,3,2.5,11,1,0,2,16,2001
123-110-03,117750,795,2,1,55,1,1,2,23,2001
068-030-39,215000,1428,3,2,8,1,0,3,30,2001
068-060-02,209950,1465,3,2,7,1,0,3,6,2001
068-200-02,280000,2182,4,3,5,2,1,3,26,2001
068-230-52,210000,1422,3,2,2,1,0,3,19,2001
068-230-54,215000,1422,3,2,2,1,0,3,8,2001
068-240-02,219000,1557,4,3,1,2,0,3,6,2001
068-280-29,249950,1928,4,2,1,1,0,3,25,2001
068-290-08,205000,1542,3,2,1,1,0,3,9,2001
070-150-09,239900,1776,4,2,7,1,0,3,19,2001
070-250-17,289000,2533,5,3,3,2,0,3,20,2001
071-230-10,152000,1059,2,2,17,1,1,3,25,2001
071-230-30,246000,1487,3,2,18,1,0,3,12,2001
071-372-03,310000,2690,4,3,11,2,0,3,1,2001
071-400-51,354900,2888,4,3,8,1,0,3,21,2001
071-400-72,234950,1851,3,2,9,1,0,3,23,2001
072-050-71,235000,2338,4,2.5,23,2,0,3,17,2001
072-140-05,190000,1866,4,2,23,1,0,3,26,2001
072-230-32,201200,1511,3,2,18,1,0,3,26,2001
072-260-42,199950,1877,3,2,21,1,0,3,12,2001
072-320-36,182000,1697,3,2,23,1,0,3,3,2001
072-330-35,230613,2336,4,2,23,1,1,3,14,2001
075-033-22,195000,1808,3,2,43,1,0,3,29,2001
077-041-08,185000,1653,3,2,40,1,1,3,19,2001
077-070-19,201000,1624,3,2,36,1,1,3,4,2001
077-172-21,300000,2476,3,2.5,44,1,0,3,3,2001
077-184-02,272500,2000,3,3,38,1,0,3,23,2001
077-200-09,146000,1168,3,2,45,1,0,3,25,2001
077-200-16,192000,2230,4,3,45,1,1,3,3,2001
078-210-14,170000,1485,3,2,22,1,0,3,2,2001
078-410-40,239500,2030,4,2.5,15,2,0,3,2,2001
079-051-13,131000,1026,3,1,41,1,1,3,12,2001
079-070-07,146000,1424,3,2,34,1,1,3,20,2001
