APN,SP,SFLA,BEDS,Baths,Age,Stories,Vacant,Month,Day,Year
072-210-56,125000,1551,3,2,21,1,0,10,29,1999
072-210-70,132500,1895,4,2,23,1,1,10,6,1999
072-230-51,124900,1372,3,2,15,1,0,10,22,1999
072-280-36,126000,1547,3,2,22,1,0,10,15,1999
072-310-41,136000,1501,3,2,21,1,0,10,15,1999
072-340-46,140000,1527,3,2,23,1,0,10,19,1999
075-160-28,180647,2269,5,3,29,2,1,10,5,1999
077-190-07,119000,1822,3,2,41,1,1,10,1,1999
077-270-17,110000,1224,3,2,40,1,0,10,12,1999
077-300-15,122500,1617,3,2,44,1,0,10,1,1999
078-400-04,191500,2727,5,3,12,2,0,10,13,1999
079-203-05,111500,1496,3,2,28,1,0,10,28,1999
079-263-13,80000,1318,3,2,33,1,1,10,8,1999
079-265-07,109000,1413,3,2,33,1,0,10,5,1999
079-310-15,126000,3288,6,4,28,2,1,10,17,1999
079-420-02,105000,1505,3,2,25,1,0,10,15,1999
080-120-04,137500,1698,3,2,20,1,1,10,31,1999
080-370-33,135000,1552,3,2,12,1,0,10,15,1999
080-430-06,160000,2175,4,2.5,9,2,0,10,2,1999
081-131-22,79500,1000,3,2,40,1,1,10,13,1999
081-210-04,105500,1350,3,2,34,1,0,10,19,1999
082-150-10,115100,1439,3,2,23,1,0,10,15,1999
082-200-38,85500,1673,3,2,23,1,1,10,25,1999
082-350-55,133000,1770,3,2,22,1,1,10,5,1999
085-210-14,350000,3718,4,4.5,18,1,0,10,6,1999
085-290-15,237000,2100,3,3,37,1,0,10,6,1999
085-560-10,220000,2300,4,2.5,20,1,0,10,2,1999
086-590-04,255000,2639,4,3,18,2,0,10,19,1999
086-640-25,368000,2800,3,2.5,8,1,1,10,13,1999
087-170-40,230000,2693,4,3,31,1,0,10,11,1999
088-052-11,112000,1405,3,2,19,1,0,10,6,1999
088-100-21,129950,1296,4,2,20,1,0,10,6,1999
088-260-26,96500,1222,3,2,15,1,0,10,25,1999
088-320-10,164000,2678,5,3,10,2,1,10,15,1999
088-320-12,139000,1800,4,2.5,10,2,0,10,10,1999
088-380-39,165000,2678,5,3,9,2,1,10,21,1999
088-400-20,135000,1533,4,3,5,2,1,10,2,1999
090-020-24,75000,1110,3,2,22,1,1,10,11,1999
090-020-71,81000,1118,3,2,22,1,0,10,19,1999
090-100-30,70000,960,3,2,20,1,1,10,11,1999
090-260-02,93500,1158,3,2,20,1,0,10,15,1999
090-520-41,129900,1645,4,2.5,9,2,1,10,15,1999
091-340-20,282000,1810,3,2,17,1,0,10,14,1999
092-250-33,133000,1414,3,2,2,1,0,10,23,1999
094-350-43,130000,1973,4,3,9,2,1,10,4,1999
094-360-26,139000,1890,4,2.5,9,2,0,10,12,1999
096-110-15,165000,2417,4,3,10,2,0,10,30,1999
096-120-46,131000,1694,3,2.5,9,2,0,10,20,1999
096-130-47,120000,1533,3,2,9,1,1,10,7,1999
096-190-19,109950,1360,3,2,5,1,1,10,18,1999
096-200-81,159000,2273,3,2.5,9,2,0,10,4,1999
096-220-32,118500,1357,3,2,6,1,0,10,7,1999
096-260-47,129950,1271,3,2,3,1,0,10,18,1999
097-161-18,87950,898,2,1,47,1,1,10,5,1999
097-162-21,82000,1545,4,1,47,1,1,10,5,1999
097-250-03,196000,1971,3,3,38,1,0,10,2,1999
097-250-20,154000,1779,3,2,40,1,0,10,15,1999
098-050-03,252000,3178,3,3,20,2,0,10,1,1999
100-123-20,56000,900,2,1,26,1,0,10,29,1999
100-380-02,119000,1245,3,2,14,1,1,10,24,1999
102-110-20,115000,1607,4,2,39,1,0,10,4,1999
102-160-14,119500,1554,3,2,40,1,1,10,29,1999
102-280-16,85000,1063,3,1,41,1,0,10,11,1999
104-170-03,82000,1524,3,2,19,1,1,10,22,1999
109-172-22,67500,972,3,1,47,1,1,10,21,1999
109-220-56,298000,2622,3,2.5,11,2,0,10,8,1999
109-250-11,89500,1003,3,1,45,1,1,10,27,1999
109-310-30,119750,1710,3,2,38,1,1,10,18,1999
110-050-38,122900,1313,3,2,19,1,1,10,4,1999
111-170-38,86500,1139,2,1,49,1,0,10,22,1999
112-070-06,290000,2819,4,2,16,2,0,10,22,1999
112-150-26,255000,1907,3,2.5,21,1,0,10,30,1999
112-180-16,258000,2645,4,3,22,2,1,10,8,1999
113-082-07,128000,1025,3,1,53,1,0,10,10,1999
113-170-13,340000,2206,5,3,63,2,0,10,15,1999
113-203-10,153000,1761,4,2.5,77,2,0,10,11,1999
114-600-09,292000,2390,4,3,4,1,0,10,14,1999
115-158-12,71950,780,2,1,54,1,1,10,24,1999
115-251-16,78000,804,2,1.5,52,1,1,10,8,1999
116-060-34,242000,2390,4,3,4,2,0,10,6,1999
117-120-38,60000,886,2,1,53,1,1,10,11,1999
117-160-27,82000,1332,2,1,52,1,1,10,29,1999
117-244-09,89950,1564,3,2,52,1,0,10,1,1999
119-170-19,99950,1248,3,2,21,1,0,10,27,1999
121-080-13,150000,1860,3,2,25,1,0,10,24,1999
121-240-09,325000,3023,4,3,11,1,0,10,6,1999
123-241-08,117500,1290,3,1,49,1,1,10,16,1999
125-040-13,154000,1295,2,2,58,1,0,10,26,1999
125-070-34,184900,2065,4,1.5,69,2,0,10,8,1999
125-280-18,72000,1162,2,1,81,1,1,10,12,1999
125-300-06,84000,1308,3,2,80,1,0,10,19,1999
125-310-10,72500,1083,2,1,60,1,0,10,28,1999
127-162-23,62100,915,2,1,53,1,1,10,16,1999
135-020-58,178000,1827,2,2,65,2,0,10,28,1999
135-030-41,105000,1600,2,1.5,74,1,0,10,6,1999
135-180-52,96500,1383,2,1,75,1,0,10,29,1999
137-213-07,185000,2700,4,2.5,94,2,0,10,22,1999
141-111-06,59000,1023,2,1,45,1,1,10,1,1999
143-020-06,69950,1652,3,2,53,1,0,10,6,1999
143-320-49,51000,1190,2,1.5,50,1,1,10,17,1999
153-000-00,59900,900,2,1,51,1,0,10,1,1999
153-180-43,59950,900,3,1,50,1,1,10,19,1999
153-210-46,59950,744,2,1,59,1,1,10,6,1999
155-440-14,87000,1404,3,1,58,1,1,10,18,1999
159-120-47,72454,1100,3,1,51,1,1,10,22,1999
161-280-57,155000,1633,4,2.5,3,2,0,10,18,1999
161-290-62,172000,2236,4,2.5,5,2,0,10,5,1999
161-360-21,150000,1769,4,2,6,1,0,10,29,1999
161-420-41,145000,1372,3,2,6,1,0,10,6,1999
161-440-48,129500,1269,3,2,5,1,1,10,22,1999
161-460-27,150000,1476,3,2,4,1,0,10,24,1999
161-570-01,147500,1520,3,2,2,1,0,10,29,1999
173-181-04,78900,1220,3,1,37,1,0,10,13,1999
183-230-08,132000,2196,3,2,44,1,1,10,1,1999
183-320-34,176000,3502,4,2.5,15,2,1,10,27,1999
111-300-24,96400,1165,4,2,44,1,1,10,5,1999
153-260-36,63000,800,2,1,53,1,1,10,17,1999
071-373-02,182000,2086,3,2.5,9,2,1,11,4,1999
071-400-78,139000,1500,3,2,0,1,0,11,20,1999
072-140-14,115000,2226,4,2.5,21,2,1,11,18,1999
072-180-34,124950,1519,3,2,19,1,0,11,28,1999
072-320-34,130950,1672,3,2,22,1,0,11,19,1999
072-380-47,139500,1904,4,2,20,1,1,11,15,1999
077-043-09,84000,1676,4,2,36,1,1,11,16,1999
078-290-25,126950,1427,3,2,12,1,0,11,17,1999
078-290-29,125000,1536,3,2,13,1,0,11,8,1999
079-152-22,88950,1175,3,2,34,1,0,11,9,1999
080-120-01,127500,1552,3,2,20,1,1,11,23,1999
081-190-32,95000,1152,3,2,35,1,1,11,12,1999
081-227-10,89950,1393,2,2.5,32,1,0,11,21,1999
081-322-22,84000,1033,3,1,34,1,0,11,20,1999
081-344-04,76500,1206,3,2,46,1,1,11,9,1999
082-020-10,104000,1222,3,2,13,1,0,11,25,1999
082-300-58,134500,2042,4,2.5,23,2,1,11,20,1999
085-380-42,175000,1748,3,2,42,1,1,11,12,1999
088-150-52,72000,965,2,2,18,1,1,11,17,1999
088-234-03,107500,1789,4,2,25,2,0,11,5,1999
088-350-12,135000,1634,3,2.5,10,2,0,11,22,1999
088-370-59,170000,2678,5,3,9,2,0,11,16,1999
088-400-54,122000,1300,3,2.5,6,2,0,11,30,1999
089-190-02,132000,1556,3,2,47,1,1,11,22,1999
090-140-08,75000,960,3,2,20,1,0,11,8,1999
090-150-15,81000,1143,3,2,18,1,1,11,20,1999
090-210-28,81500,1301,4,2,20,1,0,11,8,1999
090-220-26,96000,1158,3,2,19,1,1,11,19,1999
090-290-25,109950,1878,3,3,19,1,0,11,3,1999
091-370-25,156800,1600,3,2,17,1,0,11,29,1999
094-240-32,93500,1257,3,2,15,1,1,11,2,1999
096-130-49,155000,2105,3,3,9,2,0,11,3,1999
096-220-38,130000,1400,4,3,3,1,0,11,2,1999
097-560-33,139000,1663,4,2,23,1,0,11,2,1999
098-280-17,185000,1638,3,2,18,1,0,11,1,1999
102-120-40,98000,1384,3,2,37,1,0,11,11,1999
103-040-04,104000,1063,3,1,38,1,0,11,21,1999
104-130-01,89750,1284,3,2,22,1,1,11,3,1999
108-190-09,162500,2220,4,2.5,20,1,1,11,12,1999
109-060-20,75000,990,3,1,47,1,1,11,18,1999
109-242-09,99950,1014,3,1,48,1,0,11,5,1999
110-050-45,126000,1313,3,2,19,1,1,11,6,1999
110-080-10,225000,2386,4,3,18,2,0,11,30,1999
110-100-42,129000,1455,3,2,17,1,1,11,24,1999
110-204-21,65100,1202,3,2,44,1,1,11,26,1999
111-041-02,77900,870,2,1,50,1,0,11,3,1999
112-060-27,220000,2017,3,2.5,17,1,0,11,20,1999
112-070-30,210000,1790,3,2,17,1,0,11,25,1999
113-070-13,149750,1576,3,2,49,1,0,11,9,1999
113-130-19,172000,1800,2,1.5,50,1,0,11,12,1999
113-211-02,120000,1425,2,1,51,1,1,11,17,1999
113-340-23,190000,2386,4,2,77,2,0,11,12,1999
113-354-02,72500,1086,2,1,76,2,0,11,18,1999
113-361-23,111065,1233,2,1,79,1,1,11,5,1999
113-362-06,104000,1266,2,1,74,1,0,11,2,1999
114-570-23,145000,1186,2,2,7,1,0,11,14,1999
115-060-50,137000,1674,3,1,73,1,1,11,23,1999
115-320-07,69500,936,2,1,28,1,0,11,11,1999
116-040-59,149950,1541,3,2,2,1,1,11,26,1999
116-070-33,216500,2208,4,3,8,2,1,11,11,1999
116-350-55,165000,1189,3,2,3,1,1,11,2,1999
117-140-10,83000,1160,3,1.5,58,1,0,11,11,1999
117-150-20,129950,1939,2,2,51,1,0,11,17,1999
117-242-02,80000,1426,3,1.5,50,1,0,11,3,1999
118-280-07,334500,2582,4,3,7,2,0,11,18,1999
118-300-59,240000,1633,3,2,4,1,0,11,2,1999
119-290-43,69000,1110,3,1,76,1,1,11,29,1999
123-063-01,67000,1201,3,1,52,1,1,11,30,1999
125-200-43,77000,900,3,1,73,1,1,11,2,1999
133-280-42,72000,908,2,1,63,1,0,11,10,1999
135-060-38,89500,1442,3,1,49,1,0,11,15,1999
135-060-43,68500,1428,3,1,75,1,1,11,8,1999
135-175-12,91400,1158,2,1,49,1,0,11,22,1999
135-180-29,64950,889,2,1,51,1,1,11,29,1999
135-324-18,145900,1900,4,2,78,2,1,11,2,1999
137-110-19,97500,1911,4,1.5,89,2,1,11,1,1999
137-124-08,125000,3600,5,3,97,3,0,11,29,1999
137-140-48,50000,980,2,1,89,1,1,11,22,1999
143-451-24,85500,1078,3,1.5,27,1,0,11,19,1999
159-181-11,65000,1008,2,1,21,1,0,11,1,1999
159-213-25,67500,984,2,1,17,1,1,11,22,1999
161-350-28,159500,1769,4,2,7,1,0,11,30,1999
161-390-45,129950,1214,4,2,7,1,0,11,11,1999
161-420-47,139900,1372,3,2,4,1,0,11,16,1999
161-480-31,124950,1070,2,2,4,1,0,11,15,1999
161-510-43,175000,2091,3,2,3,1,0,11,13,1999
161-570-10,145500,1425,3,2,2,1,0,11,1,1999
161-570-85,169000,1800,3,2.5,1,2,0,11,22,1999
179-160-12,139000,1280,2,1,53,1,1,11,16,1999
187-020-05,125000,1100,3,2,38,1,0,11,16,1999
135-030-26,112500,1328,2,1,68,1,1,11,15,1999
137-140-19,91500,1536,3,2,93,1,0,11,24,1999
068-210-35,159600,1860,4,2,0,1,1,12,2,1999
071-381-26,215000,2690,3,3,9,2,0,12,9,1999
072-110-45,142000,1996,4,3,19,2,0,12,7,1999
072-200-13,124950,1695,3,2,20,1,0,12,30,1999
077-042-16,120000,1224,3,1.5,36,1,1,12,13,1999
077-120-11,129500,1516,3,2,30,1,0,12,7,1999
078-080-25,149900,2309,5,3,10,2,1,12,31,1999
078-210-35,172000,2030,3,2.5,20,2,0,12,3,1999
079-152-03,95000,1175,3,2,32,1,1,12,8,1999
079-250-12,122000,1603,4,2,34,1,0,12,28,1999
079-420-15,85000,1020,3,1,23,1,1,12,20,1999
081-123-03,108900,1332,4,1.5,39,1,0,12,7,1999
081-360-23,79900,1254,3,1,45,1,1,12,10,1999
082-000-00,145000,2000,4,2.5,22,2,1,12,2,1999
088-052-12,119000,1405,3,2,19,1,0,12,7,1999
088-150-43,65000,965,2,2,18,1,1,12,19,1999
088-160-44,84000,1422,2,2,20,1,1,12,16,1999
088-290-38,94000,1478,2,2,17,1,0,12,2,1999
088-400-25,136000,1533,4,3,5,2,0,12,17,1999
090-020-43,84500,1118,3,2,22,1,1,12,7,1999
090-110-13,84900,1154,3,2,19,1,0,12,22,1999
090-210-10,89500,1158,3,2,20,1,0,12,15,1999
090-230-01,96950,1158,3,2,19,1,0,12,3,1999
094-320-59,135000,1800,4,2.5,10,2,0,12,2,1999
097-164-07,82000,1273,2,1,47,1,1,12,13,1999
097-590-32,165000,2198,4,2.5,25,2,1,12,5,1999
104-190-10,85000,1470,3,2,19,1,1,12,6,1999
108-110-69,96000,1308,2,2,52,1,1,12,10,1999
109-060-22,98000,1481,3,1.5,71,1,1,12,30,1999
109-201-26,107000,1214,3,2,48,1,1,12,13,1999
109-220-45,119950,1286,3,2,34,1,1,12,13,1999
110-080-37,174000,2266,4,2.5,19,2,0,12,3,1999
111-240-05,99000,1305,2,1,50,1,1,12,1,1999
111-371-23,107000,1745,4,2,53,1,1,12,23,1999
112-060-25,226000,2150,4,3,17,2,0,12,9,1999
112-190-01,160000,2140,3,2,22,1,0,12,7,1999
114-450-25,295000,2300,3,2,5,1,0,12,22,1999
116-050-45,173000,1633,3,2,6,1,0,12,16,1999
117-181-09,71700,1160,3,1,73,1,0,12,10,1999
118-390-03,438000,4030,4,3,0,2,0,12,10,1999
121-150-11,155000,1908,3,2,45,2,1,12,23,1999
123-100-11,97000,1606,3,2,50,1,0,12,10,1999
125-130-30,85000,1180,2,1,59,1,1,12,2,1999
125-140-41,114000,1199,3,2,57,1,0,12,11,1999
135-180-21,123000,1340,2,1,76,1,0,12,23,1999
135-321-05,115000,1118,3,1,42,1,0,12,23,1999
135-370-50,113000,2037,3,2,80,1,1,12,17,1999
159-185-09,50000,1284,3,1,53,1,1,12,16,1999
161-230-11,185000,2332,5,3,9,2,0,12,1,1999
161-340-03,165000,1788,3,2.5,5,2,1,12,10,1999
161-340-16,190000,2446,3,2.5,2,2,1,12,27,1999
161-370-34,202000,1841,3,2.5,9,2,0,12,3,1999
161-390-24,145000,1556,4,3,7,1,0,12,24,1999
161-460-42,175000,2040,3,3,5,2,0,12,14,1999
173-380-49,77000,1343,3,2,9,1,1,12,10,1999
068-210-03,164000,1600,3,2,5,1,0,2,6,1999
070-190-13,128000,1300,3,2,5,1,1,2,10,1999
070-220-35,165000,1800,4,2,4,1,0,2,7,1999
070-230-10,152000,1800,3,2.5,2,2,0,2,20,1999
071-240-12,109000,1200,3,2,16,1,1,2,17,1999
071-371-13,172200,2600,4,3,9,2,1,2,16,1999
072-260-06,114000,1300,3,2,18,1,0,2,1,1999
072-280-49,111000,1500,3,2,22,1,1,2,5,1999
072-380-54,127953,1800,4,2,20,1,1,2,5,1999
075-050-32,130000,1400,3,2,38,1,0,2,10,1999
075-100-43,129000,1600,3,2,43,1,0,2,7,1999
075-140-29,70000,1300,2,2,49,1,0,2,26,1999
075-390-06,110000,1800,4,2,20,1,1,2,11,1999
077-190-30,124500,1500,3,2.5,39,1,1,2,25,1999
077-190-48,159000,1500,3,2,39,1,0,2,19,1999
078-090-20,170000,2300,5,3,12,2,0,2,20,1999
078-090-23,139950,1700,3,2,13,1,0,2,13,1999
078-160-36,133000,1600,3,2,17,1,1,2,11,1999
078-160-43,145000,2100,4,2.5,14,2,1,2,9,1999
078-260-09,129500,2200,3,2.5,20,2,0,2,10,1999
078-310-07,115000,1500,3,2,12,1,1,2,1,1999
079-181-05,80000,1600,3,2,31,1,1,2,19,1999
079-274-08,89500,1400,3,2,30,1,0,2,5,1999
080-050-19,132000,2200,4,2.5,19,2,1,2,7,1999
080-060-37,120000,1400,3,2,19,1,0,2,19,1999
081-190-02,93700,1800,3,2,35,2,1,2,25,1999
081-244-02,99950,1400,3,1.5,43,1,0,2,3,1999
081-510-14,117950,1500,3,2,18,1,1,2,19,1999
082-160-07,106500,1500,3,2,26,1,0,2,24,1999
082-250-52,121500,1900,4,3,21,2,1,2,23,1999
085-330-04,184950,2000,3,2,49,1,0,2,8,1999
086-560-19,285000,2600,4,3,20,1,0,2,12,1999
088-053-39,93900,1300,3,2,18,2,1,2,19,1999
088-220-10,82000,1300,3,2,20,1,0,2,4,1999
088-330-18,130000,2000,4,3,9,2,0,2,19,1999
088-370-07,115500,1600,3,2.5,9,2,1,2,24,1999
088-370-16,128000,1800,4,2.5,9,2,0,2,9,1999
089-180-50,150000,1100,3,1,52,2,0,2,20,1999
090-230-24,70000,1100,3,2,19,1,1,2,15,1999
090-260-06,70000,1100,3,2,20,1,0,2,2,1999
094-110-05,81000,1400,3,2,17,1,1,2,19,1999
094-120-42,104000,1200,3,2,17,1,0,2,11,1999
094-330-27,80000,1200,3,2,10,2,0,2,9,1999
096-080-50,111200,1300,3,2.5,11,2,0,2,14,1999
096-110-41,157950,2000,4,2.5,9,2,0,2,8,1999
096-130-59,143000,2100,3,3,9,2,1,2,9,1999
096-150-03,115500,1600,3,2,9,1,1,2,21,1999
096-180-10,114000,1500,4,2.5,9,2,0,2,17,1999
096-200-61,132500,1700,4,2.5,5,2,1,2,19,1999
097-060-36,113000,1300,3,2,39,1,0,2,25,1999
097-081-16,115000,1300,3,1.5,44,1,0,2,14,1999
097-082-08,82750,1100,3,1,45,1,1,2,12,1999
097-130-10,116000,1400,3,2,39,1,0,2,14,1999
097-170-08,79900,900,2,1,45,1,0,2,19,1999
097-220-37,85500,1100,3,1,48,1,0,2,3,1999
098-020-43,255000,2600,4,3.5,21,1,0,2,12,1999
098-030-02,133500,1300,3,2,22,1,1,2,27,1999
098-080-05,220000,2200,3,2,19,1,0,2,4,1999
098-080-35,395000,3700,5,3,12,2,0,2,10,1999
098-392-09,180000,1800,3,2,26,1,0,2,20,1999
104-390-36,67000,1200,3,2,11,1,1,2,12,1999
108-180-27,116000,1400,3,2,20,1,1,2,7,1999
111-081-08,52000,1100,3,2,47,1,1,2,3,1999
111-110-02,78000,2000,3,2,47,1,1,2,17,1999
111-145-10,88000,1000,3,2,44,1,1,2,4,1999
111-150-23,78500,900,3,1,46,1,1,2,8,1999
111-202-23,89000,1000,3,1,49,1,1,2,19,1999
111-220-16,89950,900,2,1,49,1,1,2,23,1999
111-331-10,78000,1200,2,2,49,1,1,2,24,1999
112-030-44,187000,1500,3,2,15,1,0,2,23,1999
112-080-16,141600,1700,3,2,20,1,0,2,10,1999
112-190-30,164000,1800,3,2,22,1,0,2,12,1999
113-250-02,118500,1400,2,1,57,1,1,2,8,1999
113-250-03,116000,1100,2,1,58,1,0,2,24,1999
115-034-11,94000,1000,3,1,48,1,0,2,17,1999
115-080-39,86000,800,2,1,36,1,0,2,5,1999
115-100-46,95000,1100,3,1,49,1,1,2,8,1999
115-170-14,90000,800,2,1,50,1,0,2,8,1999
115-252-17,58500,800,2,1,52,1,0,2,9,1999
116-050-27,166500,1500,2,2,7,1,0,2,4,1999
116-060-24,179000,1600,3,2,2,1,0,2,8,1999
117-246-07,80000,1300,2,1,52,1,1,2,19,1999
118-090-46,230000,1600,2,2,7,1,0,2,2,1999
118-110-23,275000,2500,4,2.5,6,1,0,2,11,1999
118-270-09,348500,3600,5,3,7,2,1,2,8,1999
118-300-60,285000,2400,4,3,4,2,0,2,16,1999
118-310-52,143000,1600,3,2.5,7,2,1,2,22,1999
118-350-08,135000,1400,3,2,16,1,0,2,23,1999
118-350-42,143500,1500,3,2,16,1,0,2,6,1999
121-144-10,290000,2400,4,3,38,1,0,2,15,1999
123-053-14,84950,1000,3,1,42,1,1,2,4,1999
123-100-19,96500,1600,3,2,49,1,0,2,5,1999
125-030-30,183000,2300,3,3,58,2,0,2,24,1999
125-140-02,180000,1900,3,1.5,58,2,0,2,24,1999
125-290-21,74000,1400,2,1,52,1,1,2,12,1999
127-060-08,99500,1700,3,1.5,79,1,0,2,26,1999
133-150-11,79950,1200,2,1,49,1,1,2,23,1999
133-450-45,57000,1000,2,1,64,1,1,2,17,1999
135-050-29,95000,1200,3,2,72,1,1,2,17,1999
135-310-42,108000,1500,3,1,79,1,0,2,26,1999
137-070-09,68350,2600,4,2,99,2,1,2,4,1999
157-030-10,63500,1000,3,1.5,34,1,0,2,24,1999
159-045-10,92900,2000,3,2,3,2,1,2,17,1999
159-130-24,56990,900,3,1,34,1,1,2,5,1999
161-280-73,120000,1500,3,2,7,1,0,2,1,1999
161-350-13,142500,1700,3,2,5,1,0,2,2,1999
161-410-28,124500,1300,3,2,4,1,0,2,18,1999
161-470-10,128500,1400,3,2,5,1,0,2,20,1999
161-520-45,140055,1600,3,2,4,1,1,2,19,1999
187-130-08,158500,1800,3,2,35,1,1,2,4,1999
